"paper_id","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD017670","BiologicalAgent","species","species","Escherichia coli","True"
"PXD017670","BiologicalAgent","tissue","organ","skeletal muscle","True"
"PXD017670","BiologicalAgent","cell_type","cell_type","myotubes","True"
"PXD017670","BiologicalAgent","disease_state","disease","normal","True"
"PXD017670","BiologicalAgent","sample_source","material_type","C2 myoblasts","True"
"PXD017670","BiologicalAgent","age","age","","False"
"PXD017670","BiologicalAgent","anatomic_site_tumor","anatomic_site_tumor","","False"
"PXD017670","BiologicalAgent","BMI","BMI","","False"
"PXD017670","BiologicalAgent","cell_line","cell_line","C2","True"
"PXD017670","BiologicalAgent","sex","sex","","False"
"PXD017670","BiologicalAgent","strain","strain","","False"
"PXD017670","BiologicalAgent","material_type","material_type","C2 myoblasts","True"
"PXD017670","BiologicalAgent","developmental_stage","developmental_stage","","False"
"PXD017670","TechnicalAgent","acquisition_method","acquisition_method","","False"
"PXD017670","TechnicalAgent","alkylation_reagent","alkylation_reagent","","False"
"PXD017670","TechnicalAgent","alkylation_concentration","alkylation_concentration","","False"
"PXD017670","TechnicalAgent","cleavage_agent","cleavage_agent","","False"
"PXD017670","TechnicalAgent","collision_energy","collision_energy","","False"
"PXD017670","TechnicalAgent","enrichment_method","enrichment_method","","False"
"PXD017670","TechnicalAgent","fractionation_method","fractionation","","False"
"PXD017670","TechnicalAgent","fragmentation_method","fragmentation","","False"
"PXD017670","TechnicalAgent","instrument","instrument","Q Exactive Plus","True"
"PXD017670","TechnicalAgent","ionization_type","ionization_type","","False"
"PXD017670","TechnicalAgent","labeling","label","SILAC","True"
"PXD017670","TechnicalAgent","reduction_reagent","reduction_reagent","","False"
"PXD017670","TechnicalAgent","reduction_concentration","reduction_concentration","","False"
"PXD017670","ExperimentalDesignAgent","biological_replicate","replicates","3 independent biological replicates (IGF-1/LY study) and 6 independent biological replicates (LY/MK study) | 3 and 6","True"
"PXD017670","ExperimentalDesignAgent","technical_replicate","technical_replicates","two technical replicates | 2","True"
"PXD017670","ExperimentalDesignAgent","experimental_design","experimental_design","Quantitative phosphoproteomic comparison of contracting myotubes treated with IGF-1, LY294002, or MK-2206","True"
"PXD017670","ExperimentalDesignAgent","factor_value","factor_value","treatment (IGF-1, LY294002, MK-2206)","True"
"PXD017670","ExperimentalDesignAgent","number_of_fractions","fractions","30","True"
"PXD017670","ExperimentalDesignAgent","number_of_technical_replicates","technical_replicates","two technical replicates | 2","True"
"PXD017670","ExperimentalDesignAgent","number_of_biological_replicates","replicates","3 independent biological replicates (IGF-1/LY study) and 6 independent biological replicates (LY/MK study) | 3 and 6","True"
"PXD017670","ExperimentalDesignAgent","number_of_samples","number_of_samples","9","True"
