source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021874-Sample-1	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_H53_Cyt_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-2	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_Cyt_Try_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-3	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_Agl15_Mem_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-4	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_AglB_SN_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-5	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_H53_Cyt_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-6	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_H53_Cyt_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-7	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_Agl15_SN_Try_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-8	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_Agl15_SN_Try_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-9	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190606_StS_H53_Cyt_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-10	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190604_StS_Agl15_Mem_GluC_Rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
PXD021874-Sample-11	Haloferax volcanii	not available	wild-type, mutant	not available	not available	mid- and late-logarithmic growth phases	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HFX	NT=Glu-C;AC=MS:1001917	not available	not available	not available	strain (WT, Δagl15, ΔaglB), cellular fraction (Cyt, Mem, SN)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	10 ppm	dithiothreitol	iodoacetamide	400m/z-2000m/z	25 NCE	20190607_StS_AglB_Cyt_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, mutant
