source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030213-Sample-1	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-2	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-3	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-4	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-5	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-6	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-7	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-8	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-9	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD030213-Sample-10	Homo sapiens	kidney	not available	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131N	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (MG-132-only, MG-132 plus TL12–186)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Beta elimination of modified S or T followed by Michael addition of labelled DTT;AC=UNIMOD:763;MT=Variable;TA=S	10 ppm	0.02 Da	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	201227_Am_6mic_CDK_FAIMS_3cv_30_54_78_lowres_250C.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
