source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD036832-Sample-1	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_239.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-2	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_251.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-3	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_254.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-4	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_255.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-5	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_256.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-6	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_260.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-7	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_266.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-8	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_273.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-9	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_279.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
PXD036832-Sample-10	Mus musculus	heart, kidney, liver, lung, spleen, leukocytes, plasma	sepsis	leukocytes	not available	female	Nine-week-old	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time post-infection (0, 6, 12, 18h), treatment (meropenem, methylprednisolone, combination), treatment timing (2h, 8h)	not available	7 ppm	12 ppm	orbitrap	CK_P1909_281.raw	v1.1.0	HAMLET-agentic v2.1.0	sepsis
