source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000534-Sample-1	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00066.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-2	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00068.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-3	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00070.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-4	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00072.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-5	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00074.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-6	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00076.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-7	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00078.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-8	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00080.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-9	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00082.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
PXD000534-Sample-10	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28 to 81 years, 42 to 78 years, 31 to 78 years	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Orbitrap Elite, UltraFlex II	not available	not available	not available	not available	tissue type (CCC tumor tissue, non-tumorous liver tissue)	not available	5 ppm	0.4 Da	orbitrap	OEI00084.raw	v1.1.0	HAMLET-agentic v2.1.0	cholangiocellular carcinoma
