source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001468-Sample-1	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1906_293T_proteinID_01A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-2	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1922_293T_proteinID_02A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-3	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1923_293T_proteinID_03A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-4	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1924_293T_proteinID_04A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-5	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1925_293T_proteinID_05A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-6	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1926_293T_proteinID_06A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-7	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1927_293T_proteinID_07A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-8	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1928_293T_proteinID_08A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-9	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1929_293T_proteinID_09A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-10	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1930_293T_proteinID_10A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
