source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD004732-Sample-1	Homo sapiens	not available	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01625b_GF4-TUM_first_pool_30_01_01-3xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-2	Homo sapiens	not available	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01625b_GE2-TUM_first_pool_13_01_01-2xIT_2xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-3	Homo sapiens	not available	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01650b_BF7-TUM_first_pool_96_01_01-3xHCD-1h-R2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-4	Homo sapiens	not available	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01748a_GD1-TUM_second_pool_10_02_01-ETD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-5	Homo sapiens	not available	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01640c_BA4-Thermo_SRM_Pool_25_01_01-2xIT_2xHCD-1h-R2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-6	Homo sapiens	not available	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01709a_GB4-TUM_first_pool_125_01_01-3xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-7	Homo sapiens	not available	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01812a_GA1-TUM_second_pool_85_01_01-2xIT_2xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-8	Homo sapiens	not available	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01650b_BH3-TUM_first_pool_66_01_01-DDA-1h-R2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-9	Homo sapiens	not available	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01625b_GC2-TUM_first_pool_11_01_01-DDA-1h-R2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-10	Homo sapiens	not available	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01812a_GG1-TUM_second_pool_91_01_01-ETD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-11	Homo sapiens	not available	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01717a_BF3-TUM_second_pool_34_01_01-DDA-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-12	Homo sapiens	not available	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01640c_BD7-Thermo_SRM_Pool_52_01_01-2xIT_2xHCD-1h-R2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-13	Homo sapiens	not available	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01717a_BA3-TUM_second_pool_29_01_01-3xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-14	Homo sapiens	not available	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01866a_GD3-TUM_second_pool_108_02_01-2xIT_2xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-15	Homo sapiens	not available	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01812a_GC1-TUM_second_pool_87_01_01-2xIT_2xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-16	Homo sapiens	not available	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01748a_GH2-TUM_second_pool_50_01_01-ETD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-17	Homo sapiens	not available	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01717a_BF3-TUM_second_pool_34_01_01-3xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-18	Homo sapiens	not available	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01640c_BC12-Thermo_SRM_Pool_91_01_01-DDA-1h-R2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD004732-Sample-19	Homo sapiens	not available	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion Lumos	not available	not available	not available	not available	acquisition type (HCD, IT, ETD), peptide set (proteotypic, missing proteome, SRMAtlas)	not available	orbitrap	01709a_GE3-TUM_first_pool_119_01_01-2xIT_2xHCD-1h-R1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
