source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012986-Sample-1	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04026.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-2	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04032.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-3	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04050.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-4	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04036.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-5	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04044.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-6	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04028.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-7	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04034.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-8	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04048.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-9	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04046.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-10	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04038.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-11	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04030.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-12	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04040.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-13	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04052.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-14	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04054.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD012986-Sample-15	Mus musculus	muscle	normal	myoblast	C2C12	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	spike-in concentration (5 levels), analysis method (DDA, DirectDIA, DIA)	not available	QExHF04042.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
