source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014145-Sample-1	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-2	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-3	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-4	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-5	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-6	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-7	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-8	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-9	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
PXD014145-Sample-10	Homo sapiens	lung	lung adenocarcinoma	epithelial cell	A549	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild1. wild-type, knockout)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	7 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	MFA380.raw	v1.1.0	HAMLET-agentic v2.1.0	lung adenocarcinoma
