"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD014528","","strict","Biological","cell_line","cell_line","E14Tg2a","True"
"PXD014528","","strict","Biological","cell_type","cell_type","embryonic stem cells","True"
"PXD014528","","strict","Biological","disease","disease","normal","True"
"PXD014528","","strict","Biological","organ","organ","embryonic stem cell","True"
"PXD014528","","strict","Biological","species","species","Mus musculus","True"
"PXD014528","","strict","ExperimentalDesign","factor_value","factor_value","cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7) | normal","True"
"PXD014528","","strict","ExperimentalDesign","fractions","fractions","1","True"
"PXD014528","","strict","ExperimentalDesign","replicates","replicates","3","True"
"PXD014528","","strict","ExperimentalDesign","technical_replicates","technical_replicates","1","True"
"PXD014528","","strict","Technical","cleavage_agent","cleavage_agent","Lys-C","True"
"PXD014528","","strict","Technical","instrument","instrument","Orbitrap LC-MS (Thermo)","True"
"PXD014528","","strict","Technical","label","label","label free","True"
"PXD014528","","strict","Technical","mass_analyzer","mass_analyzer","orbitrap","True"
"PXD014528","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
