source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030403-Sample-1	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0139_7.1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-2	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0141_7.3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-3	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0142_14.2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-4	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0144_8.3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-5	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0145_8.2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-6	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0146_8.1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-7	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0147_9.3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-8	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0148_10.3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-9	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0149_11.3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD030403-Sample-10	Homo sapiens	thyroid	normal	epithelial cell	Nthy-ORI	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wildtype TRβ, TRβPV, TRβGS125), treatment (10 nM T3, vehicle)	not available	7 ppm	8 ppm	orbitrap	qe_2020_0153_9.1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
