source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002548-Sample-1	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-2	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-3	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-4	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-5	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-6	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-7	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-8	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-9	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
PXD002548-Sample-10	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Elite;AC=MS:1001910	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	10 ppm	50 mmu	orbitrap	350m/z-1600m/z	35 NCE	2014-0403_iTRAQ-3.raw	v1.1.0	HAMLET-agentic v2.1.0	wild-type, δmin mutant
