source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD041782-Sample-1	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-2	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-3	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-4	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-5	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE_CDDP.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-6	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE_CDDP.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-7	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE_CDDP.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-8	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_OE_CDDP.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-9	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_Vec.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
PXD041782-Sample-10	Homo sapiens, Mus musculus	lung	non-small cell lung cancer	epithelial cell	H1299, A549, H1975, HCC827, H2170, H226, H520, BEAS-2B	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (CRTAC1-overexpressing, vector control), treatment (cisplatin, control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	7 ppm	8 ppm	orbitrap	VA086LQ_Vec.raw	v1.1.0	HAMLET-agentic v2.1.0	non-small cell lung cancer
