"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD024642","","strict","Biological","age","age","8-weeks-old","True"
"PXD024642","","strict","Biological","cell_line","cell_line","HEK293T, HeLa, U2OS","True"
"PXD024642","","strict","Biological","cell_type","cell_type","epithelial cell","True"
"PXD024642","","strict","Biological","disease","disease","normal","True"
"PXD024642","","strict","Biological","organ","organ","liver","True"
"PXD024642","","strict","Biological","sex","sex","male","True"
"PXD024642","","strict","Biological","species","species","Homo sapiens, Mus musculus","True"
"PXD024642","","strict","ExperimentalDesign","factor_value","factor_value","protein (VAMP8) | normal","True"
"PXD024642","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD024642","","strict","Technical","cleavage_agent","cleavage_agent","Trypsin","True"
"PXD024642","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD024642","","strict","Technical","instrument","instrument","Thermo Fisher LTQ Orbitrap ETD","True"
"PXD024642","","strict","Technical","label","label","label free","True"
"PXD024642","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD024642","","strict","Technical","modification","modification","phosphorylated residue | Deamidation (NQR) | Iodoacetamide derivative (CDEHKMSTUY,N-term) | Formylation (KST,N-term)","True"
"PXD024642","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
