source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001819-Sample-1	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_12500amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-2	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_2500amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-3	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_25000amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-4	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_50amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-5	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_12500amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-6	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_125amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-7	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_2500amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-8	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_500amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-9	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_50amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-10	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_12500amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-11	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_50000amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-12	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_250amol_R1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-13	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_125amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-14	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_250amol_R3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001819-Sample-15	Saccharomyces cerevisiae	not available	normal	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	UPS1_50000amol_R2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
