source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003772-Sample-1	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	TMT126	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;MT=?	NT=Propionaldehyde +40;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Duplex Tandem Mass Tag®;MT=?	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_2_240min_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-2	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	TMT127	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;MT=?	NT=Propionaldehyde +40;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Duplex Tandem Mass Tag®;MT=?	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_2_240min_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-3	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	TMT128	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;MT=?	NT=Propionaldehyde +40;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Duplex Tandem Mass Tag®;MT=?	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_2_240min_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-4	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	TMT129	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;MT=?	NT=Propionaldehyde +40;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Duplex Tandem Mass Tag®;MT=?	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_2_240min_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-5	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	TMT130	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;MT=?	NT=Propionaldehyde +40;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Duplex Tandem Mass Tag®;MT=?	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_2_240min_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-6	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	TMT131	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;MT=?	NT=Propionaldehyde +40;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Duplex Tandem Mass Tag®;MT=?	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_2_240min_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-7	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;AC=UNIMOD:739;MT=?;TA=HKSTY,N-term	NT=Propionaldehyde +40;AC=UNIMOD:256;MT=?;TA=HK	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Duplex Tandem Mass Tag®;AC=UNIMOD:738;MT=?;TA=HKSTY,N-term	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_1_240m_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-8	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;AC=UNIMOD:739;MT=?;TA=HKSTY,N-term	NT=Propionaldehyde +40;AC=UNIMOD:256;MT=?;TA=HK	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Duplex Tandem Mass Tag®;AC=UNIMOD:738;MT=?;TA=HKSTY,N-term	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_1_240m_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-9	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;AC=UNIMOD:739;MT=?;TA=HKSTY,N-term	NT=Propionaldehyde +40;AC=UNIMOD:256;MT=?;TA=HK	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Duplex Tandem Mass Tag®;AC=UNIMOD:738;MT=?;TA=HKSTY,N-term	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_1_240m_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
PXD003772-Sample-10	Mus musculus	plasma	experimental cerebral malaria, non-infected	microparticles	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (NI, d3 pi, ECM)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Native Tandem Mass Tag®;AC=UNIMOD:739;MT=?;TA=HKSTY,N-term	NT=Propionaldehyde +40;AC=UNIMOD:256;MT=?;TA=HK	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Duplex Tandem Mass Tag®;AC=UNIMOD:738;MT=?;TA=HKSTY,N-term	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	Natalia_TMT6_1_240m_1pt5.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental cerebral malaria, non-infected
