source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012143-Sample-1	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 1	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW22_A2.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-2	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 2	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW34_B8.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-3	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 3	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW26_B4.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-4	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 4	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW26_A4.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-5	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 5	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW20_A1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-6	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 6	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW28_A5.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-7	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 7	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW29_B5.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-8	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 8	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW24_A3.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-9	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 9	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW31_A6.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-10	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 10	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW23_B2.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
