source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001819-Sample-1	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_12500amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-2	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	not available	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_12500amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-3	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	not available	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_12500amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-4	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_125amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-5	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_125amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-6	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_125amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-7	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_25000amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-8	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_25000amol_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-9	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_25000amol_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD001819-Sample-10	Saccharomyces cerevisiae	cell culture	not available	cell	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	1	3	NT=collision-induced dissociation;AC=MS:1000133	UPS1 spike level (0.05, 0.125, 0.250, 0.5, 2.5, 5, 12.5, 25, 50 fmol/µg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	5 ppm, 20 ppm, 6 ppm	0.8 Da, 0.5 Da	dithiothreitol	iodoacetamide	orbitrap	UPS1_2500amol_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
