source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008012-Sample-1	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B14B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-2	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C7b_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-3	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B8A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-4	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B21B_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-5	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B47A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-6	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B18A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-7	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B13A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-8	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C8b.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-9	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B37A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-10	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C1_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-11	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B44A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-12	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B39A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-13	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B9A.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-14	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20131217_OR8_RP_HP_C6b_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-15	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140108_OR8_RP_HP_B4B.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
PXD008012-Sample-16	Homo sapiens	breast	triple-negative breast cancer	epithelial cell	MDA-MB-231, MDA-MB-157, Hs578T, MDA-MB-468, HCC1937, HCC1143, HCC38, BT549, BT483, MDA-MB-415	not available	34	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Elite	NT=Lys-C;AC=MS:1001309	1	1	not available	phenotype (relapsed, non-relapsed)	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	20140113_OR8_RP_HP_B17A_rr.raw	v1.1.0	HAMLET-agentic v0.1.0	triple-negative breast cancer
