source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012988-Sample-1	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03751.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-2	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03753.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-3	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03755.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-4	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03757.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-5	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03759.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-6	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03761.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-7	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03763.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-8	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03765.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-9	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03767.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-10	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03769.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-11	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03771.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-12	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03773.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-13	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03775.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012988-Sample-14	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (1.25 to 125 nm)	not available	5 ppm	orbitrap	350m/z-1400m/z	QExHF03777.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
