source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015744-Sample-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_A3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-2	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-3	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_C3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-4	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_C4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-5	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_D3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-6	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_E4.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-7	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-8	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_F5.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-9	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_G2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
PXD015744-Sample-10	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma (pdac)	PDAC cells	20	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	5	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (PDAC)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	4.5 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	QE1_180417_OPL1022_TLL_PDAC_tumor_H2.raw	v1.1.0	HAMLET-agentic v0.1.0	pancreatic ductal adenocarcinoma (pdac)
