source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015833-Sample-1	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A28RW2_A1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-2	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8141A21RW2_B2.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-3	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A33RW2_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-4	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms2_QEx_fr6.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-5	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr4.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-6	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	SCX_fr1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-7	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	phospho_ms3_Lum_fr9.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-8	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT9290A21RW2_B1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-9	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT8142A31RW2_D1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
PXD015833-Sample-10	P. falciparum, P. knowlesi, Homo sapiens	rbcs	human malaria	erythrocytes	4	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Lumos, Q-Exactive	NT=Lys-C;AC=MS:1001309	12	3	not available	species (P. falciparum, P. knowlesi), infection status (iRBC, uRBC), treatment (DMSO, RAP)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm, 4.5 ppm	dithiothreitol	iodoacetamide	orbitrap	PAT9290A18RW2_G1.raw	v1.1.0	HAMLET-agentic v0.1.0	human malaria
