source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD015957-Sample-1	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_EV1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-2	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_EV2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-3	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_EV3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-4	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_IFN1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-5	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_IFN2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-6	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_IFN3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-7	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_NT1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-8	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_NT2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-9	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_NT3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD015957-Sample-10	Homo sapiens	skin	metastatic melanoma	epithelial cell	108T, 12T, A375	not available	1	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	iodoacetamide	orbitrap	108T_OE1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
