source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD017035-Sample-1	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d10_48_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-2	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d11_24_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-3	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d11_48_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-4	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d12_12_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-5	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d12_48_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-6	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d13_12_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-7	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d13_48_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-8	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d14_12_hTT_II.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-9	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d14_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD017035-Sample-10	Anaerostipes caccae, Bacteroides thetaiotaomicron, Bifidobacterium longum, Blautia producta, Clostridium butyricum, Clostridium ramosum, Escherichia coli, Lactobacillus plantarum	not available	not available	bacteria	6	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	transit time (12 h, 24 h, 48 h)	not available	10 ppm	0.02 Da	orbitrap	d15_24_hTT_I.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
