source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD026287-Sample-1	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 1	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_3_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-2	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 2	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_1_3.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-3	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 3	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_3_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-4	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 4	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_2_5.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-5	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 5	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_3_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-6	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 6	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_3_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-7	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 7	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_1_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-8	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 8	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	hakai_MTA_2_2.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-9	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 9	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	MTA_1_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-10	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 10	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	WT_2_4.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
PXD026287-Sample-11	Arabidopsis	root	wt, mutant	12	not available	2-week-old	run 11	proteomic profiling by mass spectrometry	not available	label free sample	LTQ Orbitrap Velos Pro	NT=Trypsin;AC=MS:1001251	1	5	not available	Genotype/Protein Tag (WT, HAKAI-GFP, MTA-GFP, hakai-2 MTA-GFP)	not available	dithiothreitol	orbitrap	HAKAI_2_1.raw	v1.1.0	HAMLET-agentic v0.1.0	wt, mutant
