source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD055868-Sample-1	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_non.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-2	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_non.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-3	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_non.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-4	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_non.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-5	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_sh2.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-6	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_sh2.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-7	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_sh2.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-8	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_sh2.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-9	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_sh1.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
PXD055868-Sample-10	Homo sapiens, Mus musculus	bladder	bladder cancer	epithelial cell	UMUC3, T24T	not available	1	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	XIAP expression level (overexpression, knockdown, control)	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	9 ppm	orbitrap	SD300LQ_UC3_sh1.raw	v1.1.0	HAMLET-agentic v0.1.0	bladder cancer
