source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000113-Sample-1	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_01.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-2	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_02.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-3	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_03.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-4	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_04.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-5	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_05.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-6	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_06.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-7	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Md_saliva_08.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-8	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Sa_saliva_01.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-9	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Sa_saliva_02.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000113-Sample-10	Sitobion avenae, Metopolophium dirhodum, Acyrthosiphon pisum	saliva	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	species (S. avenae, M. dirhodum, A. pisum)	not available	1.5 Da	1.0 Da	orbitrap	Sa_saliva_03.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
