source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000118-Sample-1	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-1_Digitonin.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-2	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-1_SDS.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-3	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-1_Tween.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-4	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-2_Digitonin.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-5	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-2_SDS.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-6	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-1_SDS.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-7	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-1_Tween.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-8	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	2-2_Digitonin.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-9	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	3-2_Digitonin.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-10	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	4_Pellet.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
