source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000157-Sample-1	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07080.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-2	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07081.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-3	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07082.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-4	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07083.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-5	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07085.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-6	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07086.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-7	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07087.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-8	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07088.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-9	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07090.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000157-Sample-10	Homo sapiens	bone	osteosarcoma	U2OS	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	functional state (interphase, mitosis)	not available	6 ppm	0.4 m/z	orbitrap	A10-07091.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
