source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000261-Sample-1	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_01.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-2	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_02.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-3	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_03.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-4	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_04.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-5	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_05.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-6	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_06.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-7	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_07.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-8	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_08.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-9	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_09.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-10	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_10.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
