source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000262-Sample-1	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_A12.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-2	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_A2.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-3	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_A5.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-4	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_A6.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-5	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_A8.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-6	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_B11.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-7	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_B6.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-8	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_C2.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-9	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	031111_EXP187_C3.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-10	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_CYTO_4.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
