source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000272-Sample-1	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_08_SM_TMT1_1_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-2	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_09_SM_TMT1_2_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-3	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_10_SM_TMT1_3_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-4	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_11_SM_TMT1_4_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-5	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_12_SM_TMT1_5_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-6	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_13_SM_TMT1_6_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-7	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_15_SM_TMT1_7_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-8	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_16_SM_TMT1_8_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-9	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_17_SM_TMT1_9_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-10	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_18_SM_TMT1_10_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
