source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000282-Sample-1	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	12_CTR_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-2	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	13_CTR_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-3	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	1_KO_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-4	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	2_KO_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-5	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	2_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-6	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	3_KO_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-7	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	4_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-8	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	7_KO_Depl.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-9	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	8_CTR_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-10	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	9_CTR_Crude.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
