source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000409-Sample-1	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t0_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-2	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t0_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-3	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t0_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-4	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t0_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-5	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t0_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-6	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t0_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-7	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t30_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-8	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t30_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-9	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t30_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-10	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t30_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
