source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000534-Sample-1	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00094.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-2	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00078.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-3	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00068.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-4	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00088.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-5	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00090.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-6	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00082.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-7	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00076.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-8	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00074.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-9	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00096.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-10	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00070.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-11	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00086.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-12	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00072.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-13	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00084.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-14	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00080.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-15	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00092.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
PXD000534-Sample-16	Homo sapiens	liver	cholangiocellular carcinoma	not available	not available	28-81, 42-78, 31-78	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Elite, UltraFlex II	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	tissue type (CCC tumor tissue, non-tumorous liver tissue)	NT=oxidation;AC=MOD:00412;MT=?	NT=S-carboxamidoethyl-L-cysteine;AC=MOD:00417;MT=?	Orbitrap	OEI00066.raw	v1.1.0	HAMLET-agentic v2.2.5	cholangiocellular carcinoma
