source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000551-Sample-1	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 1	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13077_Petra_S37P_patient1_89323proband_28-32-3.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-2	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 2	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13079_Petra_S37P_patient1_89323proband_28-32-5.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-3	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 3	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13093_Petra_S37P_patient1_89323proband_24-28-1.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-4	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 4	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13139_Petra_S37P_patient2_89324carrier_28-32-11.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-5	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 5	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13142_Petra_S37P_patient2_89324carrier_28-32-14.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-6	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 6	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13457_Petra_S37P_patient4_90526WT_28-32-13.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-7	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 7	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13484_Petra_S37P_patient4_90526WT_20-24-8.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-8	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 8	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17105_1221_Petra_hNaa10p_S37P_patient1_24-28-3.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-9	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 9	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17111_1221_Petra_hNaa10p_S37P_patient1_24-28-9.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-10	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 10	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17112_1221_Petra_hNaa10p_S37P_patient1_24-28-10.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-11	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 11	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17116_1221_Petra_hNaa10p_S37P_patient1_24-28-14.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-12	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 12	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17142_1222_Petra_hNaa10p_S37P_patient2_90532_28-32-4.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
