source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000604-Sample-1	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr26.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-2	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr26.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-3	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr26.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-4	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr26.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-5	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-6	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-7	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-8	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-9	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr29.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-10	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr29.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
