source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000624-Sample-1	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R101.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-2	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R102.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-3	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R103.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-4	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R104.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-5	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R105.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-6	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R106.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-7	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R107.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-8	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R108.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-9	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R109.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000624-Sample-10	Homo sapiens	bladder	normal	smooth muscle cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	treatment time (0, 4, 24 h)	not available	6 ppm	0.3 m/z	orbitrap	WY_R110.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
