source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002266-Sample-1	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-13.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-2	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-05.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-3	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-15.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-4	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-13.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-5	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-05.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-6	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-18.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-7	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-17.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-8	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-10.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-9	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-14.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-10	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-07.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-11	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-10.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-12	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-11.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-13	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-03.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-14	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-15.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-15	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-14.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-16	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-01.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-17	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-07.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-18	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-06.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-19	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-18.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
