source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006401-Sample-1	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	1_HE1_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-2	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	15_unstained2_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-3	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	14_hemalaun2_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-4	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	16_unstained2_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-5	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	7_unstained1_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-6	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	11_hematoxylin2_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-7	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	8_unstained1_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-8	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	12_FASP30k_4.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-9	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	9_HE2_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-10	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	2_HE1_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-11	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	5_FASP10k_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-12	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	4_hematoxylin1_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
