source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011050-Sample-1	Haloferax volcanii	not available	normal	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_pssA-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-2	Haloferax volcanii	not available	normal	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_Hvo_wt_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-3	Haloferax volcanii	not available	normal	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_Hvo_1143_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-4	Haloferax volcanii	not available	normal	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_WT-GluC-membrane_22082017.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-5	Haloferax volcanii	not available	normal	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_Hvo_wt_Try_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-6	Haloferax volcanii	not available	normal	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_FASP-WT_05052017.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-7	Haloferax volcanii	not available	normal	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_artA-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-8	Haloferax volcanii	not available	normal	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_FASP-RR02_05052017.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-9	Haloferax volcanii	not available	normal	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_WT-GluC-SN_22082017.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD011050-Sample-10	Haloferax volcanii	not available	normal	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	not available	Q Exactive Plus, LTQ Orbitrap-Velos, LTQ Orbitrap Elite, LTQ Orbitrap XL, TripleTOF 5600+, Q Exactive HF	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strains, culture conditions	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	tris(2-carboxyethyl)phosphine	Orbitrap	normalized collision energy of 30	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
