source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD025175-Sample-1	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	NOL_T.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-2	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	NOL_T.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-3	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	NOL_T.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-4	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	NOL_T.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-5	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	Band.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-6	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	Band.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-7	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	Band.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-8	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;AC=UNIMOD:5;MT=?;TA=CKMRSTY,N-term	NT=Methylation;AC=UNIMOD:34;MT=?;TA=CDEHIKLNQRST,C-term;N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Amidation;AC=UNIMOD:2;MT=?;TA=C-term	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	Band.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-9	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 3	proteomic profiling by mass spectrometry	not available	iTRAQ114	Q Exactive	not available	not available	not available	not available	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;MT=?	NT=Methylation;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Amidation;MT=?	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	LPC_T.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
PXD025175-Sample-10	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	not available	female	2 months	run 3	proteomic profiling by mass spectrometry	not available	iTRAQ115	Q Exactive	not available	not available	not available	not available	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=Carbamylation;MT=?	NT=Methylation;MT=?	NT=Iodoacetamide derivative;MT=?	NT=Amidation;MT=?	dithiothreitol	iodoacetamide	Orbitrap	30 and 19 eV	LPC_T.raw	v1.1.0	HAMLET-agentic v2.2.5	experimental autoimmune encephalomyelitis
