source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010952-Sample-1	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-2	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-3	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-4	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-5	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-6	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-7	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-8	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-9	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
PXD010952-Sample-10	Anas platyrhynchos	liver	inflammation and chronic liver disease trend	12	male	40 days of age	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	not available	18	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	stocking density (L: 5 ducks/m2, H: 9 ducks/m2)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Asn->Gly substitution;AC=UNIMOD:1159;MT=Variable;TA=N	NT=deuterated methyl ester;AC=UNIMOD:298;MT=Variable;TA=D	10 ppm, 5 ppm	0.02 Da	orbitrap	7196TQ_8.raw	v1.1.0	HAMLET-agentic v0.1.0	inflammation and chronic liver disease trend
