source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD025175-Sample-1	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	18_0_LFA_T.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-2	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	18_0_LFA_T.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-3	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	18_0_LFA_T.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-4	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	18_0_LFA_T.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-5	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	Band.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-6	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	Band.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-7	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	Band.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-8	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	Band.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-9	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	NOL_T.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
PXD025175-Sample-10	Mus musculus, Homo sapiens, Rattus norvegicus	optic nerve	experimental autoimmune encephalomyelitis	oligodendrocyte precursor cells, retinal ganglion cells	3	female	2 months	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	recovery response (low-recovery, high-recovery, stay-normal, control no-injection)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Methylation;AC=UNIMOD:34;MT=Variable;TA=C	10 ppm	0.02 Da	dithiothreitol	iodoacetamide	orbitrap	NOL_T.raw	v1.1.0	HAMLET-agentic v0.1.0	experimental autoimmune encephalomyelitis
