source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD039035-Sample-1	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-2	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-3	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-4	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-5	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-6	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_2.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-7	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-8	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-9	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD039035-Sample-10	Mus musculus	bone marrow	normal	dendritic cells	not available	Female	8–12-week-old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	DC state (psDC, nsDC)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Modification by hydroxylated mechloroethamine (HN-2);AC=UNIMOD:1388;MT=?;TA=CHK	NT=Acetyldeoxyhypusine;AC=UNIMOD:1042;MT=?;TA=K	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	800 ppm	0.02 Da	dithiothreitol	Orbitrap	30% of normalized collision energy	IJ_FSM_TMT_1.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
