source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD055950-Sample-1	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-2	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-3	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-4	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-5	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-6	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-7	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-8	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-9	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
PXD055950-Sample-10	Homo sapiens	kidney	normal	Flp-In 293, U2OS, SaOS2, Bewo, SKN-SH, 293FT, Expi293F, Hela	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131N	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	REEP1 variant (wild-type, L107P mutant, parental control)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=?;TA=HKSTY,N-term	NT=Representative mass and accurate mass for 113, 114, 116 & 117;AC=UNIMOD:730;MT=?;TA=CHKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	50-ppm	0.03 Da	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy 32%	xb10551.raw	v1.1.0	HAMLET-agentic v2.1.1	normal
