source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010603-Sample-1	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171117_JMM_T405_6.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-2	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171017_JMM_IPL146_2.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-3	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171025_JMM_VC146_10.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-4	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171026_JMM_CN383_1.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-5	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171018_JMM_STG146_8.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-6	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171025_JMM_VC146_1.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-7	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171116_JMM_STG405_8.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-8	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171002_JMM_CN146_1.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-9	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171017_JMM_IPL146_8.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
PXD010603-Sample-10	Homo sapiens	brain	alzheimer’s disease, healthy	neuron	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (Amygdala, Caudate Nucleus, Cerebellum, Entorhinal Cortex, Inferior Parietal Lobule, Middle Frontal Gyrus, Superior Temporal Gyrus, Thalamus, Visual Cortex), disease progression (no tangle, intermediate tangle, severe tangle)	not available	tris(2-carboxyethyl)phosphine	chloroacetamide	Orbitrap	normalized collision energy level of 30	20171002_JMM_C146_5.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, healthy
