source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD032098-Sample-1	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_146.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-2	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_144.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-3	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_142.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-4	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_156.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-5	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_152.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-6	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_154.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-7	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_143.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-8	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_149.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-9	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_155.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-10	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_141.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-11	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_150.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-12	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_145.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-13	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_139.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-14	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_153.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-15	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_151.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
PXD032098-Sample-16	S. cerevisiae	not available	drg1-18 mutant	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	crosslinker type (DSS, BS3, none)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	35% collision energy	F1905_sailerc_140.raw	v1.1.0	HAMLET-agentic v2.2.5	drg1-18 mutant
