accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC
PXD004588,28112162.0,PMC5256095,0,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001357,25429530.0,PMC4245811,41,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD012008,30635574.0,PMC6329795,21,Trypanosoma brucei,5691,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD002691,26739245.0,PMC4703981,1,Entamoeba histolytica hm-1:imss-a,885318,Shotgun proteomics,CC BY,False,False
PXD012023,31213559.0,PMC6581861,2,Escherichia coli,562,Shotgun proteomics,CC BY,False,False
PXD001361,25429530.0,PMC4245811,33,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001362,25429530.0,PMC4245811,63,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001359,25429530.0,PMC4245811,7,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD013339,31492860.0,PMC6731319,8,Homo sapiens (human),9606,Chemical cross-linking coupled with mass spectrometry proteomics,CC BY,False,False
PXD013338,31213602.0,PMC6581911,208,Drosophila melanogaster (fruit fly); Homo sapiens (human),7227; 9606,Chemical cross-linking coupled with mass spectrometry proteomics; Shotgun proteomics,CC BY,False,False
PXD014667,32019800.0,PMC7002346,9,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD001360,25429530.0,PMC4245811,27,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002690,27542228.0,PMC5325365,137,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD002694,26750110.0,PMC4824857,19,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY,False,False
PXD001376,26845436.0,PMC4741518,6,Pseudomonas fluorescens (strain sbw25),216595,Shotgun proteomics,CC BY,False,False
PXD001371,26845436.0,PMC4741518,0,Pseudomonas fluorescens (strain sbw25),216595,Shotgun proteomics,CC BY,False,False
PXD000038,24058457.0,PMC3776814,48,Sus scrofa domesticus (domestic pig),9825,Bottom-up proteomics,CC BY,False,False
PXD001369,26731301.0,PMC4700839,48,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD001368,30516470.0,PMC6281317,30,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY,False,False
PXD001374,26278961.0,PMC4642524,30,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD012038,30807611.0,PMC6391000,0,Histomonas meleagridis,135588,SWATH MS,CC BY,False,False
PXD012039,31211768.0,PMC6581253,6,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD001386,26217812.0,PMC4510553,360,Arabidopsis thaliana (mouse-ear cress),3702,Shotgun proteomics,CC BY,False,False
PXD012040,31138678.0,PMC6633393,12,Mus musculus (mouse),10090,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD001383,25609649.0,PMC4332150,214,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD012045,30799487.0,PMC6486545,3,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD000048,23172892.0,PMC3567860,6,Arabidopsis thaliana (mouse-ear cress),3702,Bottom-up proteomics,CC BY-NC,False,False
PXD012047,31555049.0,PMC6753514,38,Aerococcus urinae nbrc 15544 = ccug 36881; Globicatella sanguinis; Escherichia coli,1216979; 13076; 562,Shotgun proteomics,CC BY,False,False
