source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000011-Sample-1	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P4a.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-2	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P4b_2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-3	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P4b_3.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-4	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P4c_1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-5	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P4c_2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-6	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P4c_3.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-7	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P5a.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-8	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P5b_1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-9	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P5c_1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000011-Sample-10	Mus musculus, Homo sapiens	forebrain	not available	not available	not available	P56-P70, P1, P16, P69, E17.5, DIV7, DIV14	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	purification target (TAP-GluN1, PSD95-TAP, WT control), postnatal age, drug treatment (TSA, 2BP), genetic mutation (Psd95-/-, Psd93-/-, NR-ΔPDZlig, Glun2b2A(CTR), Glun2a2B(CTR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 p.p.m.	0.8 Da	dithiothreitol	iodoacetamide	orbitrap	95-TAP_1500_P5c_3.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
