source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008108-Sample-1	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-2	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-3	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-4	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-5	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-6	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aCFIm25.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-7	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-8	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-9	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
PXD008108-Sample-10	Mus musculus	embryonic fibroblasts	not available	fibroblasts	not available	not available	E13.5	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	siRNA treatment (Nudt21, control)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Cysteine mercaptoethanol;AC=UNIMOD:303;MT=?;TA=C	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	20 ppm	0.9 Da	tris(2-carboxyethyl)phosphine	iodoacetamide	Orbitrap	CE = 35; CE = 65	yuechen_lerber_20170906_aWT.raw	v1.1.0	HAMLET-agentic v2.1.1	not available
