source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD009815-Sample-1	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_04.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-2	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_06.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-3	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_08.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-4	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_10.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-5	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_113.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-6	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_115.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-7	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_119.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-8	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_121.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-9	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_123.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-10	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_125.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-11	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_127.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-12	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_131.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-13	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_18.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-14	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_20.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-15	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_31.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-16	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_38.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-17	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_40.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-18	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_42.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-19	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_44.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-20	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_46.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-21	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_50.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-22	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_61.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD009815-Sample-23	Saccharomyces cerevisiae	not available	not available	4	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	4	NT=beam-type collision-induced dissociation;AC=MS:1000422	UPS1 concentration (0.01, 0.05, 0.1, 0.250, 0.5, 1, 5, 10, 25, 50 fmol)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	QEKAC160601_63.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
